name,location,date,website,website_status,website_mirror_ipres,proceedings_full,proceedings_osf,proceedings_phaidra,proceedings_ideals,session_recordings
iPRES 2004,"Beijing, China","July 14 - 16, 2004",http://www.las.ac.cn/cedp/index_en.html,gone,https://ipres-conference.org/ipres04/,,,https://phaidra.univie.ac.at/detail/o:295028,,
iPRES 2005,"G̦ttingen, Germany","September 15 - 16, 2005",http://rdd.sub.uni-goettingen.de/conferences/ipres05/,gone,https://ipres-conference.org/ipres05/,https://phaidra.univie.ac.at/detail/o:295047,,https://phaidra.univie.ac.at/detail/o:295048,,
iPRES 2006,"Ithaca, NY, U.S.A","October 8 - 10, 2006",http://ipres.library.cornell.edu/,archived,https://ipres-conference.org/ipres06/,,,https://phaidra.univie.ac.at/detail/o:294903,,
iPRES 2007,"Beijing, China","October 11 - 12, 2007",http://ipres.las.ac.cn/,gone,https://ipres-conference.org/ipres07/,,,http://phaidra.univie.ac.at/o:294846,,
iPRES 2008,"London, United Kingdom","September 29 - 30, 2008",http://www.bl.uk/ipres2008/,gone,https://ipres-conference.org/ipres08/,,,http://phaidra.univie.ac.at/o:294193,,
iPRES 2009,"San Francisco, CA, U.S.A.","October 5 - 6, 2009",http://www.cdlib.org/ipres/ipres2009.html,gone,https://ipres-conference.org/ipres09/,,,http://phaidra.univie.ac.at/o:294045,,
iPRES 2010,"Vienna, Austria","September 19 - 24, 2010",http://www.ifs.tuwien.ac.at/dp/ipres2010/index.html,,https://ipres-conference.org/ipres10/,,,http://phaidra.univie.ac.at/o:245914,,
iPRES 2011,Singapore,"November 1 - 4, 2011",http://ipres2011.sg/,gone,https://ipres-conference.org/ipres11/,,,http://phaidra.univie.ac.at/o:294299,,
iPRES 2012,"Toronto, Canada","October 1 - 5 ,2012",http://iPRES.ischool.utoronto.ca/,gone,https://ipres-conference.org/ipres12/,,,http://phaidra.univie.ac.at/o:293685,,
iPRES 2013,"Lisbon, Portugal","September 2 - 6, 2013",http://ipres2013.sysresearch.org/,gone,https://ipres-conference.org/ipres13/,,,https://phaidra.univie.ac.at/detail/o:378098,,
iPRES 2014,"Melbourne, Australia","October 6 - 10, 2014",http://pandora.nla.gov.au/pan/149803/20150323-1209/ipres2014.org/index.html,archived,https://ipres-conference.org/ipres14/,https://phaidra.univie.ac.at/o:378066,,https://phaidra.univie.ac.at/detail/o:378735,,
iPRES 2015,"Chapel Hill, North Carolina, USA","November 2 - 6, 2015",http://ipres2015.org/,gone,https://ipres-conference.org/ipres15/,https://phaidra.univie.ac.at/detail/o:429524,,https://phaidra.univie.ac.at/detail/o:429627,,
iPRES 2016,"Bern, Switzerland","October 3 - 6, 2016",http://www.ipres2016.ch,gone,https://ipres-conference.org/ipres16/,,,https://phaidra.univie.ac.at/o:502812,,
iPRES 2017,"Kyoto, Japan","September 25 - 29, 2017",https://ipres2017.jp/,gone,https://ipres-conference.org/ipres17/,,,https://phaidra.univie.ac.at/detail/o:931148,,
iPRES 2018,"Boston, Massachusetts, USA","September 24 - 28, 2018",https://ipres2018.org/,,https://ipres-conference.org/ipres18/,,https://osf.io/u5w3q/,https://phaidra.univie.ac.at/detail/o:988723,,
iPRES 2019,"Amsterdam, The Netherlands","September 16 - 20, 2019",https://ipres2019.org/,,,https://ipres2019.org/static/proceedings/iPRES2019.pdf,https://osf.io/6ern4/,https://phaidra.univie.ac.at/detail/o:1049636,,
iPRES 2020 #weMissiPRES,Virtual Festival (after iPRES 2022 was cancelled due to SARS-CoV-2),"September 22 - 24, 2020",https://www.dpconline.org/events/past-events/wemissipres,,,,,,,
iPRES 2021,"Beijing, China","October 19 - 22, 2021",http://ipres2021.ac.cn/en/web/index/,,,,https://osf.io/rb2dt/,https://phaidra.univie.ac.at/detail/o:1417044,,
iPRES 2022,"Glasgow, Scotland","September 12 - 16, 2022",https://ipres2022.scot/,,,https://phaidra.univie.ac.at/detail/o:1893644,https://osf.io/8bczf/,,,https://www.dpconline.org/digipres/ipres-2022-recordings
iPRES 2023,"Champaign-Urbana, Illinois, USA","September 19 - 22, 2023",https://ipres2023.us/,,,https://www.ideals.illinois.edu/items/128305,,,https://www.ideals.illinois.edu/units/541,https://mediaspace.illinois.edu/channel/iPRES+2023
iPRES 2024,"Ghent, Belgium","September 16 - 20, 2024",https://ipres2024.pubpub.org/,,,,,,,
iPRES 2025,"Wellington, New Zealand","November 03 - 07, 2025",,,,,,,,
iPRES 2026,"Copenhagen, Denmark","September 21 - 25, 2026",,,,,,,,